County,State,Population_1990,Population_2010,Area
Autauga,Alabama,34222,53155,596.0
Baldwin,Alabama,98280,175791,1596.5
Barbour,Alabama,25417,27699,885.0
Bibb,Alabama,16576,22610,622.4
Blount,Alabama,39248,56692,645.7
Bullock,Alabama,11042,10923,625.1
Butler,Alabama,21892,20895,776.9
Calhoun,Alabama,116034,117149,608.5
Chambers,Alabama,36876,34579,597.4
Cherokee,Alabama,19543,25700,553.2
Chilton,Alabama,32458,43121,694.1
Choctaw,Alabama,16018,14111,913.6
Clarke,Alabama,27240,26255,1238.5
Clay,Alabama,13252,14040,605.1
Cleburne,Alabama,12730,14823,560.2
Coffee,Alabama,40240,48349,679.2
Colbert,Alabama,51666,54446,594.6
Conecuh,Alabama,14054,13382,850.9
Coosa,Alabama,11063,11470,652.5
Covington,Alabama,36478,37608,1034.7
Crenshaw,Alabama,13635,13928,609.6
Cullman,Alabama,67613,79941,738.5
Dale,Alabama,49633,49730,561.1
Dallas,Alabama,48130,44066,980.8
DeKalb,Alabama,54651,70038,778.0
Elmore,Alabama,49210,77650,621.6
Escambia,Alabama,35518,37996,947.5
Etowah,Alabama,99840,104066,534.8
Fayette,Alabama,17962,17472,627.8
Franklin,Alabama,27814,31383,635.7
Geneva,Alabama,23647,26541,576.4
Greene,Alabama,10153,9255,646.0
Hale,Alabama,15498,16168,643.8
Henry,Alabama,15374,17148,562.0
Houston,Alabama,81331,99029,580.4
Jackson,Alabama,47796,53386,1078.8
Jefferson,Alabama,651525,656912,1112.7
Lamar,Alabama,15715,14743,604.9
Lauderdale,Alabama,79661,91762,669.5
Lawrence,Alabama,31513,34235,693.4
Lee,Alabama,87146,135010,608.8
Limestone,Alabama,54135,78614,568.1
Lowndes,Alabama,12658,11731,718.0
Macon,Alabama,24928,21699,610.6
Madison,Alabama,238912,323080,805.0
Marengo,Alabama,23084,21296,977.1
Marion,Alabama,29830,30792,741.5
Marshall,Alabama,70832,90867,567.1
Mobile,Alabama,378643,408620,1233.4
Monroe,Alabama,23968,23329,1026.0
Montgomery,Alabama,209085,228018,789.9
Morgan,Alabama,100043,117632,582.2
Perry,Alabama,12759,10684,719.5
Pickens,Alabama,20699,19917,881.5
Pike,Alabama,27595,32147,671.1
Randolph,Alabama,19881,22817,581.1
Russell,Alabama,46860,51663,641.1
St. Clair,Alabama,50009,80658,634.0
Shelby,Alabama,99358,187880,794.9
Sumter,Alabama,16174,13871,905.0
Talladega,Alabama,74107,82347,739.6
Tallapoosa,Alabama,38826,41534,718.0
Tuscaloosa,Alabama,150522,188331,1325.3
Walker,Alabama,67670,67612,794.5
Washington,Alabama,16694,17556,1080.7
Wilcox,Alabama,13568,12012,888.8
Winston,Alabama,22053,24687,614.5
Aleutians East Borough,Alaska,2464,3703,6984.8
Aleutians West Census Area,Alaska,9478,6259,4402.1
Anchorage,Alaska,226338,284267,1697.6
Bethel Census Area,Alaska,13656,16838,41087.4
Bristol Bay Borough,Alaska,1410,1049,519.2
Dillingham Census Area,Alaska,4012,4817,18466.9
Fairbanks North Star Borough,Alaska,77720,94439,7362.4
Haines Borough,Alaska,2117,1658,2357.0
Juneau City and Borough,Alaska,26751,30975,2593.6
Kenai Peninsula Borough,Alaska,40802,53917,16078.9
Ketchikan Gateway Borough,Alaska,13828,13396,1219.6
Kodiak Island Borough,Alaska,13309,13349,6462.6
Lake and Peninsula Borough,Alaska,1668,1626,23632.3
Matanuska-Susitna Borough,Alaska,39683,84147,24693.6
Nome Census Area,Alaska,8288,9315,23012.6
North Slope Borough,Alaska,5979,8852,87860.5
Northwest Arctic Borough,Alaska,6113,7477,35862.5
Prince of Wales-Hyder Census Area,Alaska,6278,5507,7324.5
Sitka Borough,Alaska,8588,8894,2881.5
Skagway-Yakutat-Angoon Census Area,Alaska,4385,1140,12880.6
Southeast Fairbanks Census Area,Alaska,5913,6935,25994.1
Valdez-Cordova Census Area,Alaska,9952,9606,36945.4
Wade Hampton Census Area,Alaska,5791,7398,17124.1
Petersburg Borough,Alaska,7042,2338,5808.5
Yukon-Koyukuk Census Area,Alaska,8478,5635,157121.3
Apache,Arizona,61591,70312,11205.7
Cochise,Arizona,97624,129268,6170.0
Coconino,Arizona,96591,131824,18619.1
Gila,Arizona,40216,53272,4768.1
Graham,Arizona,26554,36030,4629.6
Greenlee,Arizona,8008,8318,1847.1
La Paz,Arizona,13844,20549,4499.6
Maricopa,Arizona,2122101,3751410,9204.0
Mohave,Arizona,93497,199177,13312.4
Navajo,Arizona,77658,107060,9953.8
Pima,Arizona,666880,964462,9187.0
Pinal,Arizona,116379,329297,5370.0
Santa Cruz,Arizona,29676,46051,1237.7
Yavapai,Arizona,107714,209260,8123.5
Yuma,Arizona,106895,190526,5514.4
Arkansas,Arkansas,21653,19321,988.5
Ashley,Arkansas,24319,22126,921.4
Baxter,Arkansas,31186,41388,554.4
Benton,Arkansas,97499,209911,843.3
Boone,Arkansas,28297,36710,591.2
Bradley,Arkansas,11793,11638,650.7
Calhoun,Arkansas,5826,5529,628.3
Carroll,Arkansas,18654,26971,633.8
Chicot,Arkansas,15713,12102,644.1
Clark,Arkansas,21437,23083,865.5
Clay,Arkansas,18107,16297,639.3
Cleburne,Arkansas,19411,25692,553.1
Cleveland,Arkansas,7781,8769,597.8
Columbia,Arkansas,25691,24756,766.2
Conway,Arkansas,19151,21059,556.2
Craighead,Arkansas,68956,93329,710.8
Crawford,Arkansas,42493,60778,595.5
Crittenden,Arkansas,49939,50673,610.5
Cross,Arkansas,19225,18144,615.9
Dallas,Arkansas,9614,8280,667.5
Desha,Arkansas,16798,13351,765.0
Drew,Arkansas,17369,18546,828.2
Faulkner,Arkansas,60006,108375,647.4
Franklin,Arkansas,14897,18176,609.6
Fulton,Arkansas,10037,12263,618.2
Garland,Arkansas,73397,95290,678.1
Grant,Arkansas,13948,17657,631.8
Greene,Arkansas,31804,41318,577.6
Hempstead,Arkansas,21621,22747,728.8
Hot Spring,Arkansas,26115,32671,615.0
Howard,Arkansas,13569,13778,587.5
Independence,Arkansas,31192,35994,763.8
Izard,Arkansas,11364,13636,580.7
Jackson,Arkansas,18944,18015,633.6
Jefferson,Arkansas,85487,78447,884.8
Johnson,Arkansas,18221,25180,662.2
Lafayette,Arkansas,9643,7764,526.5
Lawrence,Arkansas,17457,17340,586.6
Lee,Arkansas,13053,10709,601.7
Lincoln,Arkansas,13690,14203,561.2
Little River,Arkansas,13966,13145,531.8
Logan,Arkansas,20557,22580,709.9
Lonoke,Arkansas,39268,65846,765.5
Madison,Arkansas,11618,15507,837.0
Marion,Arkansas,12001,16779,597.7
Miller,Arkansas,38467,43048,624.1
Mississippi,Arkansas,57525,46815,898.3
Monroe,Arkansas,11333,8492,606.7
Montgomery,Arkansas,7841,9490,781.0
Nevada,Arkansas,10101,9149,620.0
Newton,Arkansas,7666,8394,823.0
Ouachita,Arkansas,30574,26293,732.5
Perry,Arkansas,7969,10435,551.0
Phillips,Arkansas,28838,22412,692.7
Pike,Arkansas,10086,11286,603.1
Poinsett,Arkansas,24664,24703,757.8
Polk,Arkansas,17347,20490,859.5
Pope,Arkansas,45883,60460,812.0
Prairie,Arkansas,9518,8839,646.0
Pulaski,Arkansas,349660,377060,771.0
Randolph,Arkansas,16558,18049,651.9
St. Francis,Arkansas,28497,28302,633.9
Saline,Arkansas,64183,102439,724.8
Scott,Arkansas,10205,11226,893.9
Searcy,Arkansas,7841,8227,667.2
Sebastian,Arkansas,99590,123847,536.4
Sevier,Arkansas,13637,16636,564.0
Sharp,Arkansas,14109,17432,604.4
Stone,Arkansas,9775,12321,606.6
Union,Arkansas,46719,42180,1039.0
Van Buren,Arkansas,14008,17237,711.6
Washington,Arkansas,113409,197192,950.2
White,Arkansas,54676,74957,1034.1
Woodruff,Arkansas,9520,7505,586.6
Yell,Arkansas,17759,21895,927.9
Alameda,California,1279182,1477980,737.5
Alpine,California,1113,1176,738.7
Amador,California,30039,38327,592.6
Butte,California,182120,218635,1639.6
Calaveras,California,31998,45994,1020.2
Colusa,California,16275,21165,1150.8
Contra Costa,California,803732,1024809,720.3
Del Norte,California,23460,28471,1007.9
El Dorado,California,125995,179053,1711.5
Fresno,California,667490,908830,5963.2
Glenn,California,24798,27935,1314.9
Humboldt,California,119118,133058,3572.8
Imperial,California,109303,168052,4175.1
Inyo,California,18281,18434,10192.1
Kern,California,543477,815693,8141.6
Kings,California,101469,151122,1389.5
Lake,California,50631,64371,1258.5
Lassen,California,27598,35081,4557.5
Los Angeles,California,8863164,9758256,4060.0
Madera,California,88090,147738,2138.4
Marin,California,230096,248601,519.8
Mariposa,California,14302,18290,1451.2
Mendocino,California,80345,87487,3509.3
Merced,California,178403,250699,1928.9
Modoc,California,9678,9605,3944.4
Mono,California,9956,13905,3044.5
Monterey,California,355660,407435,3321.9
Napa,California,110765,134051,753.9
Nevada,California,78510,98186,957.7
Orange,California,2410556,2965525,789.7
Placer,California,172796,336477,1404.4
Plumas,California,19739,20392,2554.0
Riverside,California,1170413,2109464,7208.2
Sacramento,California,1041219,1395144,965.7
San Benito,California,36697,54492,1389.1
San Bernardino,California,1418380,2005287,20062.2
San Diego,California,2498016,3022468,4204.5
San Francisco,California,723959,789172,46.7
San Joaquin,California,480628,673613,1399.3
San Luis Obispo,California,217162,265577,3304.5
San Mateo,California,649623,704327,449.1
Santa Barbara,California,369608,416051,2738.5
Santa Clara,California,1497577,1739396,1291.2
Santa Cruz,California,229734,256901,445.7
Shasta,California,147036,176906,3785.7
Sierra,California,3318,3366,953.4
Siskiyou,California,43531,44690,6287.3
Solano,California,340421,410042,828.2
Sonoma,California,388222,474047,1576.2
Stanislaus,California,370522,509682,1494.6
Sutter,California,64415,93420,602.7
Tehama,California,49625,62575,2951.0
Trinity,California,13063,13701,3178.9
Tulare,California,311921,429404,4824.3
Tuolumne,California,48456,56074,2235.6
Ventura,California,669016,809080,1845.9
Yolo,California,141092,196418,1012.4
Yuba,California,58228,71160,630.5
Adams,Colorado,265038,425330,1192.0
Alamosa,Colorado,13617,15293,722.8
Arapahoe,Colorado,391511,552860,803.2
Archuleta,Colorado,5345,12136,1349.4
Baca,Colorado,4556,3833,2555.9
Bent,Colorado,5048,6125,1514.0
Boulder,Colorado,225339,290177,742.5
Chaffee,Colorado,12684,17540,1013.5
Cheyenne,Colorado,2397,2194,1781.5
Clear Creek,Colorado,7619,9088,395.5
Conejos,Colorado,7453,8220,1287.3
Costilla,Colorado,3190,3536,1227.0
Crowley,Colorado,3946,5897,789.0
Custer,Colorado,1926,3899,738.9
Delta,Colorado,20980,30533,1142.2
